platform	operator	verdict	disclosure_field	clause	verbatim	url	read_on	note
Leanpub	Ruboss Technology Corporation	refuses	none	AI slop is not permitted	Leanpub does not permit the publication of AI slop, or anything that appears to be AI slop, on our platform.	https://help.leanpub.com/en/articles/11853585-ai-slop-is-not-permitted-on-leanpub	2026-09-15	Penalty is account-level: "Typically this will mean permanently suspending any associated Leanpub account or accounts."
Leanpub	Ruboss Technology Corporation	refuses	none	No AI agents	we don't permit AI agents to use Leanpub.	https://leanpub.com/blog/no-ai-slop/	2026-09-15	Aimed at the operator, not the output. A human using AI tools with human guidance is explicitly welcomed on the same page.
Zenn	Class Method	refuses	none	Terms art.4 prohibited acts	スパムとみなされる行為（機械により自動生成された文章の投稿や同一内容の文章を繰り返し投稿する行為など）	https://zenn.dev/terms	2026-09-13	Closes machine-generated posting, not AI-assisted writing. Blocks the GitHub-linked publishing flow.
pixivFANBOX	pixiv	refuses	none	Prohibited content	AI生成コンテンツ	https://policies.pixiv.net/	2026-09-11	PARTIAL QUOTE — only this phrase and 「FX、株、仮想通貨など金融に関する情報商材」 were verified word-for-word; the full sentence was not retained.
X	X Corp	refuses (automated monetization)	none	AI reply bots	the deployment or operation of any AI reply bot requires prior written and explicit approval from X	https://x.com/	2026-09-11	Ordinary AI-assisted posts are not covered. Monetization is the part that closes.
X	X Corp	refuses (automated monetization)	none	Original Content Rewards eligibility	Content will be ineligible if: ... Was created or posted using automated means	https://x.com/	2026-09-11	Also: "crawling or scraping the Services in any form, for any purpose without our prior written consent is expressly prohibited"
itch.io	itch corp	conditional	AI Disclosure section on the project's edit page	Quality guidelines - automated content	do not use automated systems to mass produce product pages. We will consider this spam and may remove your pages from our browse and search pages.	https://itch.io/docs/creators/quality-guidelines	2026-09-15	Line is drawn at pages, not at automation: build uploads via butler are officially automatable (https://itch.io/docs/butler/).
itch.io	itch corp	conditional	AI Disclosure section on the project's edit page	Prohibited content	Games or projects that are predominantly created by algorithms or AI with minimal human intervention.	https://itch.io/docs/creators/quality-guidelines	2026-09-15	Also prohibited: "Multiple iterations of essentially the same content that are generated by AI or algorithms." Missing tags can lead to de-listing.
Amazon KDP	Amazon	accepts with disclosure	In the publishing flow, at the moment you publish	AI-generated content	We require you to inform us of AI-generated content (text, images, or translations) when you publish.	https://kdp.amazon.com/en_US/help/topic/G200672390	2026-09-15	AI-assisted (work you created then refined with AI) requires no disclosure.
Steam	Valve	accepts with disclosure	Content Survey, two separate boxes	Pre-Generated AI Content	Any kind of content that ships with your game and is consumed by players that is created with the help of AI tools during development.	https://partner.steamgames.com/doc/gettingstarted/contentsurvey	2026-09-15	The Live-Generated box additionally asks what guardrails you put on the AI.
Steam	Valve	accepts with disclosure	Content Survey, two separate boxes	Live-Generated AI Content	Any kind of content created with the help of AI tools while the game is running.	https://partner.steamgames.com/doc/gettingstarted/contentsurvey	2026-09-15	Two boxes, two different questions; easy to miss when a script publishes.
Qiita	Qiita	conditional	none	Community guideline	記事等の執筆に便利なAIツールを活用することそのものは禁止していませんが、AIが生成した内容は、そのまま投稿するのではなく、正しいかどうかを検証した上で投稿するようにしましょう。	https://help.qiita.com/ja/articles/qiita-community-guideline	2026-09-13	The duty is verification, not disclosure. No disclosure field exists.
